4,3,3,15,23,3,2,0.75,3,851
3,5,3,5,12,2,6,0.95,7,2472
1,4,1,6,11,5,2,0.21,6,2498
4,3,4,13,11,2,4,0.57,11,2641
5,3,5,15,12,3,3,0.57,7,929
5,2,2,12,16,2,6,0.11,8,555
3,4,3,11,14,3,3,0.21,19,1457
1,1,3,8,16,3,5,0.37,8,1494
3,1,5,9,17,2,6,0.53,9,1373
5,4,1,7,24,3,6,0.11,11,710
3,1,2,9,12,2,2,0.56,17,1269
2,2,1,8,20,5,3,0.4,8,3344
5,3,5,14,22,4,4,0.01,6,1171
5,1,2,12,11,4,3,0.1,5,2184
1,2,3,7,18,5,3,0.35,18,3076
3,4,4,7,20,5,2,0.84,8,3127
3,4,4,11,17,2,2,0.67,16,2837
3,4,2,6,15,3,3,0.04,5,3741
1,3,1,11,23,2,6,0.45,3,3013
4,1,5,7,12,5,6,0.84,15,4734
5,5,4,6,13,5,3,0.86,16,4227
3,1,2,7,18,2,3,0.04,16,4121
2,5,1,15,24,4,2,0.22,12,3546
2,4,4,13,17,3,3,0.69,20,4497
5,4,2,5,25,3,6,0.58,5,4217
4,3,5,13,14,4,4,0.05,3,2678
2,2,1,15,20,3,4,0.86,18,4518
3,2,4,8,20,5,3,1.0,14,4273
1,5,2,9,13,2,3,0.2,8,3683
4,3,4,13,22,2,2,0.18,3,1669
2,4,5,13,11,3,5,0.29,3,3493
2,4,3,8,12,3,3,0.92,20,3151
5,4,1,5,23,4,5,0.65,18,4866
3,4,1,8,23,3,5,0.82,13,3732
4,2,5,14,24,2,3,0.27,10,2812
4,1,3,5,10,5,5,0.15,7,4546
3,2,3,6,19,4,4,0.84,6,2633
3,3,5,11,12,4,6,0.1,12,3252
3,2,1,6,10,4,2,0.33,13,2490
2,3,4,8,19,2,4,0.23,20,3310
4,5,4,7,24,5,4,0.55,6,5052
2,3,5,13,15,4,2,0.17,6,3136
4,3,5,7,18,3,5,0.24,16,3988
2,5,4,7,10,2,3,0.28,5,3600
3,3,1,7,25,2,2,0.14,8,5032
1,4,1,12,23,4,2,0.61,11,5167
1,4,1,7,13,5,6,0.85,4,4893
3,2,1,14,17,5,3,0.89,8,4269
5,1,4,13,11,2,4,0.65,11,5559
4,1,2,7,21,5,2,0.28,6,5028
1,1,1,13,20,3,3,0.73,9,4937
5,3,1,12,10,5,3,0.04,14,3312
3,1,4,5,23,2,2,0.24,11,4891
4,1,2,14,16,4,4,0.99,20,3588
